item_nr;prime;stimulus;target;condition
123;bubby;drag;drag;non suffixed/unrelated prime
124;darker;wind;wind;non suffixed/unrelated prime
125;catchy;yell;yell;non suffixed/unrelated prime
126;sooner;car;car;non suffixed/unrelated prime
127;risky;hot;hot;non suffixed/unrelated prime
128;beefy;too;too;non suffixed/unrelated prime
129;griped;beg;beg;non suffixed/unrelated prime
130;dusty;ski;ski;non suffixed/unrelated prime
131;gloomy;won;won;non suffixed/unrelated prime
132;girdle;cart;cart;non suffixed/unrelated prime
