`item_nr,stimulus_untrimmed,stimulus,flanker_type,lexicality,condition,target
52,plat fier plat,plat fier plat,unrelated,word,word/unrelated,fier
53, lier ,lier,no,word,word/no,lier
54,alon bube alon,alon bube alon,unrelated,nonword,nonword/unrelated,bube
55, naze ,naze,no,word,word/no,naze
56,camp camp camp,camp camp camp,related,word,word/related,camp
57,azur joie azur,azur joie azur,unrelated,word,word/unrelated,joie
58,onue onue onue,onue onue onue,related,nonword,nonword/related,onue
59,nour sige nour,nour sige nour,unrelated,nonword,nonword/unrelated,sige
60, pile ,pile,no,word,word/no,pile
61,tort fixe tort,tort fixe tort,unrelated,word,word/unrelated,fixe
62, uque ,uque,no,nonword,nonword/no,uque
63,atal coui atal,atal coui atal,unrelated,nonword,nonword/unrelated,coui
64, nord ,nord,no,word,word/no,nord
65, ster ,ster,no,nonword,nonword/no,ster
66,chen orir chen,chen orir chen,unrelated,nonword,nonword/unrelated,orir
67,guve guve guve,guve guve guve,related,nonword,nonword/related,guve
68,choc choc choc,choc choc choc,related,word,word/related,choc
69,spen spen spen,spen spen spen,related,nonword,nonword/related,spen
70, nuit ,nuit,no,word,word/no,nuit
71, peut ,peut,no,word,word/no,peut
72, oile ,oile,no,nonword,nonword/no,oile
73,erle erle erle,erle erle erle,related,nonword,nonword/related,erle
74, muse ,muse,no,word,word/no,muse
75, insi ,insi,no,nonword,nonword/no,insi
76,muie muie muie,muie muie muie,related,nonword,nonword/related,muie
77,bloc idem bloc,bloc idem bloc,unrelated,word,word/unrelated,idem
78, ucun ,ucun,no,nonword,nonword/no,ucun
79,vore vore vore,vore vore vore,related,nonword,nonword/related,vore
80,stin stin stin,stin stin stin,related,nonword,nonword/related,stin
81,abat abat abat,abat abat abat,related,word,word/related,abat
82,acte jour acte,acte jour acte,unrelated,word,word/unrelated,jour
83,eaux fini eaux,eaux fini eaux,unrelated,word,word/unrelated,fini
84, pape ,pape,no,word,word/no,pape
85, dets ,dets,no,nonword,nonword/no,dets
86,gric gric gric,gric gric gric,related,nonword,nonword/related,gric
87,purc vige purc,purc vige purc,unrelated,nonword,nonword/unrelated,vige
88,insi coge insi,insi coge insi,unrelated,nonword,nonword/unrelated,coge
89,boxe boxe boxe,boxe boxe boxe,related,word,word/related,boxe
90, miel ,miel,no,word,word/no,miel
91, lion ,lion,no,word,word/no,lion
92,ifus mato ifus,ifus mato ifus,unrelated,nonword,nonword/unrelated,mato
93,glac yope glac,glac yope glac,unrelated,nonword,nonword/unrelated,yope
94,soit duel soit,soit duel soit,unrelated,word,word/unrelated,duel
95,tige faux tige,tige faux tige,unrelated,word,word/unrelated,faux
96,lion huer lion,lion huer lion,unrelated,word,word/unrelated,huer
97,lait joue lait,lait joue lait,unrelated,word,word/unrelated,joue
98, poil ,poil,no,word,word/no,poil
99,abir abir abir,abir abir abir,related,nonword,nonword/related,abir
100,fave fave fave,fave fave fave,related,nonword,nonword/related,fave
101,aime aime aime,aime aime aime,related,word,word/related,aime
102,brin brin brin,brin brin brin,related,word,word/related,brin
103, muet ,muet,no,word,word/no,muet
104, stue ,stue,no,nonword,nonword/no,stue
105, rans ,rans,no,nonword,nonword/no,rans
106,orve orve orve,orve orve orve,related,nonword,nonword/related,orve
107,gouf diel gouf,gouf diel gouf,unrelated,nonword,nonword/unrelated,diel
108, cres ,cres,no,nonword,nonword/no,cres
109,suit elle suit,suit elle suit,unrelated,word,word/unrelated,elle
110, perd ,perd,no,word,word/no,perd
111,puif puif puif,puif puif puif,related,nonword,nonword/related,puif
112,cuit cuit cuit,cuit cuit cuit,related,word,word/related,cuit
113, nuce ,nuce,no,nonword,nonword/no,nuce
114, uide ,uide,no,nonword,nonword/no,uide
115, parc ,parc,no,word,word/no,parc
116,june june june,june june june,related,nonword,nonword/related,june
117,jine jine jine,jine jine jine,related,nonword,nonword/related,jine
118,cire cire cire,cire cire cire,related,word,word/related,cire
119,posi dave posi,posi dave posi,unrelated,nonword,nonword/unrelated,dave
120, pupe ,pupe,no,nonword,nonword/no,pupe
121, lien ,lien,no,word,word/no,lien
122, ambe ,ambe,no,nonword,nonword/no,ambe
123,sept irai sept,sept irai sept,unrelated,word,word/unrelated,irai
124,moce moce moce,moce moce moce,related,nonword,nonword/related,moce
125,juci vets juci,juci vets juci,unrelated,nonword,nonword/unrelated,vets
126, mise ,mise,no,word,word/no,mise
127,tuce tuce tuce,tuce tuce tuce,related,nonword,nonword/related,tuce
128,ciel ciel ciel,ciel ciel ciel,related,word,word/related,ciel
129, eige ,eige,no,nonword,nonword/no,eige
130, noce ,noce,no,word,word/no,noce
131,ogne adis ogne,ogne adis ogne,unrelated,nonword,nonword/unrelated,adis
132,boui perc boui,boui perc boui,unrelated,nonword,nonword/unrelated,perc
133, jave ,jave,no,nonword,nonword/no,jave
134,faux hier faux,faux hier faux,unrelated,word,word/unrelated,hier
135,igne igne igne,igne igne igne,related,nonword,nonword/related,igne
136,ange ange ange,ange ange ange,related,word,word/related,ange
137,agit agit agit,agit agit agit,related,word,word/related,agit
138, maxi ,maxi,no,word,word/no,maxi
139,rude gant rude,rude gant rude,unrelated,word,word/unrelated,gant
140, psue ,psue,no,nonword,nonword/no,psue
141, onze ,onze,no,word,word/no,onze
142,dame folk dame,dame folk dame,unrelated,word,word/unrelated,folk
143,vuis acle vuis,vuis acle vuis,unrelated,nonword,nonword/unrelated,acle
144,cure cure cure,cure cure cure,related,word,word/related,cure
145,drai jote drai,drai jote drai,unrelated,nonword,nonword/unrelated,jote
146,huif huif huif,huif huif huif,related,nonword,nonword/related,huif
147,olde olde olde,olde olde olde,related,nonword,nonword/related,olde
148, ouve ,ouve,no,nonword,nonword/no,ouve
149,gnai clec gnai,gnai clec gnai,unrelated,nonword,nonword/unrelated,clec
150,oche oche oche,oche oche oche,related,nonword,nonword/related,oche
151,uits rane uits,uits rane uits,unrelated,nonword,nonword/unrelated,rane
152,suel apin suel,suel apin suel,unrelated,nonword,nonword/unrelated,apin
153,boge chir boge,boge chir boge,unrelated,nonword,nonword/unrelated,chir
154,berf berf berf,berf berf berf,related,nonword,nonword/related,berf
155, loup ,loup,no,word,word/no,loup
156,erle vonc erle,erle vonc erle,unrelated,nonword,nonword/unrelated,vonc
157, mare ,mare,no,word,word/no,mare
158, mine ,mine,no,word,word/no,mine
159, oeil ,oeil,no,word,word/no,oeil
160,pluo adre pluo,pluo adre pluo,unrelated,nonword,nonword/unrelated,adre
161,banc banc banc,banc banc banc,related,word,word/related,banc
162,chic chic chic,chic chic chic,related,word,word/related,chic
163,clip clip clip,clip clip clip,related,word,word/related,clip
164, dier ,dier,no,nonword,nonword/no,dier
165,noil noil noil,noil noil noil,related,nonword,nonword/related,noil
166,zoom dite zoom,zoom dite zoom,unrelated,word,word/unrelated,dite
167,soti soti soti,soti soti soti,related,nonword,nonword/related,soti
168,alme uits alme,alme uits alme,unrelated,nonword,nonword/unrelated,uits
169,pril oute pril,pril oute pril,unrelated,nonword,nonword/unrelated,oute
170, mont ,mont,no,word,word/no,mont
171,bien foot bien,bien foot bien,unrelated,word,word/unrelated,foot
172, flir ,flir,no,nonword,nonword/no,flir
173,bain bain bain,bain bain bain,related,word,word/related,bain
174,sube sube sube,sube sube sube,related,nonword,nonword/related,sube
175,psin vute psin,psin vute psin,unrelated,nonword,nonword/unrelated,vute
176,clas uite clas,clas uite clas,unrelated,nonword,nonword/unrelated,uite
177,vert donc vert,vert donc vert,unrelated,word,word/unrelated,donc
178,tyle tyle tyle,tyle tyle tyle,related,nonword,nonword/related,tyle
179,dame dame dame,dame dame dame,related,word,word/related,dame
180, peur ,peur,no,word,word/no,peur
181, pipi ,pipi,no,word,word/no,pipi
182, inge ,inge,no,nonword,nonword/no,inge
183,cuce cuce cuce,cuce cuce cuce,related,nonword,nonword/related,cuce
184,bres bres bres,bres bres bres,related,nonword,nonword/related,bres
185,tinq arer tinq,tinq arer tinq,unrelated,nonword,nonword/unrelated,arer
186, idue ,idue,no,nonword,nonword/no,idue
187,bile bile bile,bile bile bile,related,word,word/related,bile
188, paix ,paix,no,word,word/no,paix
189,tute gami tute,tute gami tute,unrelated,nonword,nonword/unrelated,gami
190,bout haie bout,bout haie bout,unrelated,word,word/unrelated,haie
191,muni face muni,muni face muni,unrelated,word,word/unrelated,face
192,bise bise bise,bise bise bise,related,word,word/related,bise
193,puif stre puif,puif stre puif,unrelated,nonword,nonword/unrelated,stre
194,crie crie crie,crie crie crie,related,word,word/related,crie
195,abac nole abac,abac nole abac,unrelated,nonword,nonword/unrelated,nole
196,cent doux cent,cent doux cent,unrelated,word,word/unrelated,doux
197, sobe ,sobe,no,nonword,nonword/no,sobe
198,cerf cerf cerf,cerf cerf cerf,related,word,word/related,cerf
199,anue drir anue,anue drir anue,unrelated,nonword,nonword/unrelated,drir
200, pion ,pion,no,word,word/no,pion
201,gion gion gion,gion gion gion,related,nonword,nonword/related,gion
202,aide flux aide,aide flux aide,unrelated,word,word/unrelated,flux
203, spon ,spon,no,nonword,nonword/no,spon
204,rive faut rive,rive faut rive,unrelated,word,word/unrelated,faut
205, poce ,poce,no,nonword,nonword/no,poce
206, poge ,poge,no,nonword,nonword/no,poge
207,nobe ifus nobe,nobe ifus nobe,unrelated,nonword,nonword/unrelated,ifus
208,rine rine rine,rine rine rine,related,nonword,nonword/related,rine
209,vore flid vore,vore flid vore,unrelated,nonword,nonword/unrelated,flid
210, leur ,leur,no,word,word/no,leur
211, dige ,dige,no,nonword,nonword/no,dige
212, part ,part,no,word,word/no,part
213,tome juin tome,tome juin tome,unrelated,word,word/unrelated,juin
214, lage ,lage,no,nonword,nonword/no,lage
215,chat dure chat,chat dure chat,unrelated,word,word/unrelated,dure
216,arve juci arve,arve juci arve,unrelated,nonword,nonword/unrelated,juci
217, page ,page,no,word,word/no,page
218,psus fien psus,psus fien psus,unrelated,nonword,nonword/unrelated,fien
219,daps daps daps,daps daps daps,related,nonword,nonword/related,daps
220, main ,main,no,word,word/no,main
221,poxe poxe poxe,poxe poxe poxe,related,nonword,nonword/related,poxe
222, hade ,hade,no,nonword,nonword/no,hade
223, noir ,noir,no,word,word/no,noir
224,aube aube aube,aube aube aube,related,word,word/related,aube
225, buge ,buge,no,nonword,nonword/no,buge
226,duve cing duve,duve cing duve,unrelated,nonword,nonword/unrelated,cing
227,apte apte apte,apte apte apte,related,word,word/related,apte
228, ment ,ment,no,word,word/no,ment
229,isir isir isir,isir isir isir,related,nonword,nonword/related,isir
230,prie judo prie,prie judo prie,unrelated,word,word/unrelated,judo
231,cage cage cage,cage cage cage,related,word,word/related,cage
232,nile nile nile,nile nile nile,related,nonword,nonword/related,nile
233,aide aide aide,aide aide aide,related,word,word/related,aide
234, duve ,duve,no,nonword,nonword/no,duve
235,bien bien bien,bien bien bien,related,word,word/related,bien
236,uite plar uite,uite plar uite,unrelated,nonword,nonword/unrelated,plar
237,casi rone casi,casi rone casi,unrelated,nonword,nonword/unrelated,rone
238,cool cool cool,cool cool cool,related,word,word/related,cool
239, note ,note,no,word,word/no,note
240,user faim user,user faim user,unrelated,word,word/unrelated,faim
241, flin ,flin,no,nonword,nonword/no,flin
242,juif lard juif,juif lard juif,unrelated,word,word/unrelated,lard
243, pire ,pire,no,word,word/no,pire
244,taxi jure taxi,taxi jure taxi,unrelated,word,word/unrelated,jure
245, lire ,lire,no,word,word/no,lire
246,gine gine gine,gine gine gine,related,nonword,nonword/related,gine
247,bail feux bail,bail feux bail,unrelated,word,word/unrelated,feux
248,uste uste uste,uste uste uste,related,nonword,nonword/related,uste
249,acte acte acte,acte acte acte,related,word,word/related,acte
250,ceci ceci ceci,ceci ceci ceci,related,word,word/related,ceci
251, glie ,glie,no,nonword,nonword/no,glie
252,moif moif moif,moif moif moif,related,nonword,nonword/related,moif
253, luxe ,luxe,no,word,word/no,luxe
254, nobe ,nobe,no,nonword,nonword/no,nobe
255, bome ,bome,no,nonword,nonword/no,bome
256,acun irme acun,acun irme acun,unrelated,nonword,nonword/unrelated,irme
257,cerf gain cerf,cerf gain cerf,unrelated,word,word/unrelated,gain
258, nage ,nage,no,word,word/no,nage
259,aral cien aral,aral cien aral,unrelated,nonword,nonword/unrelated,cien
260, oser ,oser,no,word,word/no,oser
261,durc iage durc,durc iage durc,unrelated,nonword,nonword/unrelated,iage
262, loin ,loin,no,word,word/no,loin
263,nord eaux nord,nord eaux nord,unrelated,word,word/unrelated,eaux
264,coin coin coin,coin coin coin,related,word,word/related,coin
265, paye ,paye,no,word,word/no,paye
266,acci spel acci,acci spel acci,unrelated,nonword,nonword/unrelated,spel
267, suel ,suel,no,nonword,nonword/no,suel
268,lier fond lier,lier fond lier,unrelated,word,word/unrelated,fond
269,coup coup coup,coup coup coup,related,word,word/related,coup
270, vour ,vour,no,nonword,nonword/no,vour
271, grer ,grer,no,nonword,nonword/no,grer
272,brut brut brut,brut brut brut,related,word,word/related,brut
273,unie flot unie,unie flot unie,unrelated,word,word/unrelated,flot
274,vute clir vute,vute clir vute,unrelated,nonword,nonword/unrelated,clir
275, logo ,logo,no,word,word/no,logo
276,tese tese tese,tese tese tese,related,nonword,nonword/related,tese
277,vure vure vure,vure vure vure,related,nonword,nonword/related,vure
278,bouc bouc bouc,bouc bouc bouc,related,word,word/related,bouc
279,mort lave mort,mort lave mort,unrelated,word,word/unrelated,lave
280,jage rour jage,jage rour jage,unrelated,nonword,nonword/unrelated,rour
281, doce ,doce,no,nonword,nonword/no,doce
282,bral hien bral,bral hien bral,unrelated,nonword,nonword/unrelated,hien
283,mype buin mype,mype buin mype,unrelated,nonword,nonword/unrelated,buin
284,moue kaki moue,moue kaki moue,unrelated,word,word/unrelated,kaki
285,groi cupe groi,groi cupe groi,unrelated,nonword,nonword/unrelated,cupe
286,gose gose gose,gose gose gose,related,nonword,nonword/related,gose
287,dute ilas dute,dute ilas dute,unrelated,nonword,nonword/unrelated,ilas
288,avas avas avas,avas avas avas,related,nonword,nonword/related,avas
289, tute ,tute,no,nonword,nonword/no,tute
290,caie caie caie,caie caie caie,related,nonword,nonword/related,caie
291, nerf ,nerf,no,word,word/no,nerf
292,chir bolk chir,chir bolk chir,unrelated,nonword,nonword/unrelated,bolk
293, glin ,glin,no,nonword,nonword/no,glin
294,crec humi crec,crec humi crec,unrelated,nonword,nonword/unrelated,humi
295,base base base,base base base,related,word,word/related,base
296, loge ,loge,no,word,word/no,loge
297, plat ,plat,no,word,word/no,plat
298,bair soge bair,bair soge bair,unrelated,nonword,nonword/unrelated,soge
299,avec avec avec,avec avec avec,related,word,word/related,avec
300, aser ,aser,no,nonword,nonword/no,aser
301,elle huit elle,elle huit elle,unrelated,word,word/unrelated,huit
302, veur ,veur,no,nonword,nonword/no,veur
303,taxe film taxe,taxe film taxe,unrelated,word,word/unrelated,film
304,clef clef clef,clef clef clef,related,word,word/related,clef
305, nier ,nier,no,word,word/no,nier
306, rinc ,rinc,no,nonword,nonword/no,rinc
307, mune ,mune,no,nonword,nonword/no,mune
308,chat chat chat,chat chat chat,related,word,word/related,chat
309,nouf nouf nouf,nouf nouf nouf,related,nonword,nonword/related,nouf
310, nain ,nain,no,word,word/no,nain
311,cour cour cour,cour cour cour,related,word,word/related,cour
312, lune ,lune,no,word,word/no,lune
313, neuf ,neuf,no,word,word/no,neuf
314, loto ,loto,no,word,word/no,loto
315, pied ,pied,no,word,word/no,pied
316, jurf ,jurf,no,nonword,nonword/no,jurf
317,auto auto auto,auto auto auto,related,word,word/related,auto
318, long ,long,no,word,word/no,long
319, euve ,euve,no,nonword,nonword/no,euve
320,brun foie brun,brun foie brun,unrelated,word,word/unrelated,foie
321,ocbo ocbo ocbo,ocbo ocbo ocbo,related,nonword,nonword/related,ocbo
322,tout fine tout,tout fine tout,unrelated,word,word/unrelated,fine
323,cion cion cion,cion cion cion,related,nonword,nonword/related,cion
324, moto ,moto,no,word,word/no,moto
325,loui gerf loui,loui gerf loui,unrelated,nonword,nonword/unrelated,gerf
326,cher cher cher,cher cher cher,related,word,word/related,cher
327, bexe ,bexe,no,nonword,nonword/no,bexe
328,mise four mise,mise four mise,unrelated,word,word/unrelated,four
329,crie dont crie,crie dont crie,unrelated,word,word/unrelated,dont
330,vase kilo vase,vase kilo vase,unrelated,word,word/unrelated,kilo
331,jeep flan jeep,jeep flan jeep,unrelated,word,word/unrelated,flan
332, ogre ,ogre,no,word,word/no,ogre
333,boue boue boue,boue boue boue,related,word,word/related,boue
334, rese ,rese,no,nonword,nonword/no,rese
335,tade tade tade,tade tade tade,related,nonword,nonword/related,tade
336, lisi ,lisi,no,nonword,nonword/no,lisi
337,pied haut pied,pied haut pied,unrelated,word,word/unrelated,haut
338,azur azur azur,azur azur azur,related,word,word/related,azur
339,loui loui loui,loui loui loui,related,nonword,nonword/related,loui
340,amie amie amie,amie amie amie,related,word,word/related,amie
341, moue ,moue,no,word,word/no,moue
342, fope ,fope,no,nonword,nonword/no,fope
343, noix ,noix,no,word,word/no,noix
344, paie ,paie,no,word,word/no,paie
345, pare ,pare,no,word,word/no,pare
346,gouf gouf gouf,gouf gouf gouf,related,nonword,nonword/related,gouf
347,spho geuf spho,spho geuf spho,unrelated,nonword,nonword/unrelated,geuf
348, mien ,mien,no,word,word/no,mien
349, reur ,reur,no,nonword,nonword/no,reur
350, cuse ,cuse,no,nonword,nonword/no,cuse
351,cins cins cins,cins cins cins,related,nonword,nonword/related,cins
352,note juif note,note juif note,unrelated,word,word/unrelated,juif
353, jore ,jore,no,nonword,nonword/no,jore
354,trot jupe trot,trot jupe trot,unrelated,word,word/unrelated,jupe
355,agir agir agir,agir agir agir,related,word,word/related,agir
356, mode ,mode,no,word,word/no,mode
357,grer muis grer,grer muis grer,unrelated,nonword,nonword/unrelated,muis
358,bail bail bail,bail bail bail,related,word,word/related,bail
359,muet golf muet,muet golf muet,unrelated,word,word/unrelated,golf
360, midi ,midi,no,word,word/no,midi
361, dade ,dade,no,nonword,nonword/no,dade
362, psub ,psub,no,nonword,nonword/no,psub
363,cote cote cote,cote cote cote,related,word,word/related,cote
364,peur doit peur,peur doit peur,unrelated,word,word/unrelated,doit
365,itie itie itie,itie itie itie,related,nonword,nonword/related,itie
366,diol diol diol,diol diol diol,related,nonword,nonword/related,diol
367,nomb nomb nomb,nomb nomb nomb,related,nonword,nonword/related,nomb
368, mule ,mule,no,word,word/no,mule
369, ince ,ince,no,nonword,nonword/no,ince
370,tess boui tess,tess boui tess,unrelated,nonword,nonword/unrelated,boui
371, pras ,pras,no,nonword,nonword/no,pras
372, oral ,oral,no,word,word/no,oral
373,durc durc durc,durc durc durc,related,nonword,nonword/related,durc
374, luge ,luge,no,word,word/no,luge
375,dent dent dent,dent dent dent,related,word,word/related,dent
376,cuit gare cuit,cuit gare cuit,unrelated,word,word/unrelated,gare
377,daud iser daud,daud iser daud,unrelated,nonword,nonword/unrelated,iser
378,diol vare diol,diol vare diol,unrelated,nonword,nonword/unrelated,vare
379, arve ,arve,no,nonword,nonword/no,arve
380,flir sute flir,flir sute flir,unrelated,nonword,nonword/unrelated,sute
381,chef chef chef,chef chef chef,related,word,word/related,chef
382,drif chen drif,drif chen drif,unrelated,nonword,nonword/unrelated,chen
383, oque ,oque,no,nonword,nonword/no,oque
384,clip dose clip,clip dose clip,unrelated,word,word/unrelated,dose
385, vrec ,vrec,no,nonword,nonword/no,vrec
386,frum olis frum,frum olis frum,unrelated,nonword,nonword/unrelated,olis
387,cuir cuir cuir,cuir cuir cuir,related,word,word/related,cuir
388,nage flic nage,nage flic nage,unrelated,word,word/unrelated,flic
389,luxe gang luxe,luxe gang luxe,unrelated,word,word/unrelated,gang
390,sauf grec sauf,sauf grec sauf,unrelated,word,word/unrelated,grec
391,goir ches goir,goir ches goir,unrelated,nonword,nonword/unrelated,ches
392,brun brun brun,brun brun brun,related,word,word/related,brun
393, fler ,fler,no,nonword,nonword/no,fler
394, ocre ,ocre,no,word,word/no,ocre
395,imer imer imer,imer imer imer,related,nonword,nonword/related,imer
396,glac glac glac,glac glac glac,related,nonword,nonword/related,glac
397, plie ,plie,no,word,word/no,plie
398,psin psin psin,psin psin psin,related,nonword,nonword/related,psin
399, oste ,oste,no,nonword,nonword/no,oste
400,sode arni sode,sode arni sode,unrelated,nonword,nonword/unrelated,arni
401,case case case,case case case,related,word,word/related,case
402,chef joli chef,chef joli chef,unrelated,word,word/unrelated,joli
403,scol scol scol,scol scol scol,related,nonword,nonword/related,scol
404,giel giel giel,giel giel giel,related,nonword,nonword/related,giel
405,boit boit boit,boit boit boit,related,word,word/related,boit
406,cour gaie cour,cour gaie cour,unrelated,word,word/unrelated,gaie
407,rime font rime,rime font rime,unrelated,word,word/unrelated,font
408, orge ,orge,no,word,word/no,orge
409,nuit expo nuit,nuit expo nuit,unrelated,word,word/unrelated,expo
410,cash cash cash,cash cash cash,related,word,word/related,cash
411,bout bout bout,bout bout bout,related,word,word/related,bout
412,boge boge boge,boge boge boge,related,nonword,nonword/related,boge
413,base fort base,base fort base,unrelated,word,word/unrelated,fort
414,sale dort sale,sale dort sale,unrelated,word,word/unrelated,dort
415,club club club,club club club,related,word,word/related,club
416, mari ,mari,no,word,word/no,mari
417,bref bref bref,bref bref bref,related,word,word/related,bref
418,nans ucre nans,nans ucre nans,unrelated,nonword,nonword/unrelated,ucre
419,gord saze gord,gord saze gord,unrelated,nonword,nonword/unrelated,saze
420,bord bord bord,bord bord bord,related,word,word/related,bord
421, aive ,aive,no,nonword,nonword/no,aive
422,bond bond bond,bond bond bond,related,word,word/related,bond
423, ponc ,ponc,no,nonword,nonword/no,ponc
424,code code code,code code code,related,word,word/related,code
425, orie ,orie,no,nonword,nonword/no,orie
426,nanc glui nanc,nanc glui nanc,unrelated,nonword,nonword/unrelated,glui
427,juin labo juin,juin labo juin,unrelated,word,word/unrelated,labo
428,cuve cuve cuve,cuve cuve cuve,related,word,word/related,cuve
429,cinq cinq cinq,cinq cinq cinq,related,word,word/related,cinq
430,ceux ceux ceux,ceux ceux ceux,related,word,word/related,ceux
431,bloc bloc bloc,bloc bloc bloc,related,word,word/related,bloc
432,chut chut chut,chut chut chut,related,word,word/related,chut
433,cape cape cape,cape cape cape,related,word,word/related,cape
434,bome glur bome,bome glur bome,unrelated,nonword,nonword/unrelated,glur
435, hore ,hore,no,nonword,nonword/no,hore
436,oute didi oute,oute didi oute,unrelated,nonword,nonword/unrelated,didi
437, dide ,dide,no,nonword,nonword/no,dide
438,dort exil dort,dort exil dort,unrelated,word,word/unrelated,exil
439, lynx ,lynx,no,word,word/no,lynx
440,date date date,date date date,related,word,word/related,date
441,carc deno carc,carc deno carc,unrelated,nonword,nonword/unrelated,deno
442,dose fait dose,dose fait dose,unrelated,word,word/unrelated,fait
443,abri abri abri,abri abri abri,related,word,word/related,abri
444, isar ,isar,no,nonword,nonword/no,isar
445, mort ,mort,no,word,word/no,mort
446,gami sper gami,gami sper gami,unrelated,nonword,nonword/unrelated,sper
447,cude cude cude,cude cude cude,related,nonword,nonword/related,cude
448,crue crue crue,crue crue crue,related,word,word/related,crue
449,vave vave vave,vave vave vave,related,nonword,nonword/related,vave
450,sort fade sort,sort fade sort,unrelated,word,word/unrelated,fade
451,duis duis duis,duis duis duis,related,nonword,nonword/related,duis
452,naze fuir naze,naze fuir naze,unrelated,word,word/unrelated,fuir
453, pipe ,pipe,no,word,word/no,pipe
454,demi demi demi,demi demi demi,related,word,word/related,demi
455, muni ,muni,no,word,word/no,muni
456,coui arne coui,coui arne coui,unrelated,nonword,nonword/unrelated,arne
457,arme arme arme,arme arme arme,related,word,word/related,arme
458,clan clan clan,clan clan clan,related,word,word/related,clan
459, zour ,zour,no,nonword,nonword/no,zour
460,pure laid pure,pure laid pure,unrelated,word,word/unrelated,laid
461,perd fuit perd,perd fuit perd,unrelated,word,word/unrelated,fuit
462,drac drac drac,drac drac drac,related,nonword,nonword/related,drac
463,rour ilie rour,rour ilie rour,unrelated,nonword,nonword/unrelated,ilie
464, ogne ,ogne,no,nonword,nonword/no,ogne
465, roge ,roge,no,nonword,nonword/no,roge
466,jupe info jupe,jupe info jupe,unrelated,word,word/unrelated,info
467,bame bame bame,bame bame bame,related,nonword,nonword/related,bame
468, ibac ,ibac,no,nonword,nonword/no,ibac
469, plan ,plan,no,word,word/no,plan
470, noie ,noie,no,word,word/no,noie
471,dise dise dise,dise dise dise,related,word,word/related,dise
472,camp dune camp,camp dune camp,unrelated,word,word/unrelated,dune
473,sabe sabe sabe,sabe sabe sabe,related,nonword,nonword/related,sabe
474,ande ande ande,ande ande ande,related,nonword,nonword/related,ande
